timestamp,lat,lon,temp,hum,air,aforo,redes,rssi
2026-04-08 23:47:30,40.424461,-3.655616,24.35,44.94,404,AFORO BAJO,10,-48
2026-04-08 23:47:38,40.424461,-3.655616,24.4,44.43,446,AFORO BAJO,10,-52
2026-04-08 23:47:46,40.424461,-3.655616,24.31,44.02,545,AFORO BAJO,10,-45
2026-04-08 23:47:54,40.424461,-3.655616,24.34,43.98,400,AFORO BAJO,9,-46
2026-04-08 23:48:02,40.424461,-3.655616,24.33,44.27,437,AFORO BAJO,7,-52
2026-04-08 23:48:10,40.424461,-3.655616,24.32,44.17,400,AFORO BAJO,8,-46
2026-04-08 23:48:18,40.424461,-3.655616,24.25,44.35,503,AFORO BAJO,9,-48
2026-04-08 23:48:27,40.424461,-3.655616,24.24,45.04,419,AFORO BAJO,10,-47
2026-04-08 23:48:34,40.424461,-3.655616,24.19,44.75,400,AFORO BAJO,9,-48
2026-04-08 23:48:42,40.424461,-3.655616,24.19,44.7,400,AFORO BAJO,9,-51
2026-04-08 23:48:51,40.424461,-3.655616,24.28,44.47,400,AFORO BAJO,8,-39
2026-04-08 23:48:59,40.424461,-3.655616,24.31,44.04,400,AFORO BAJO,9,-47
2026-04-08 23:49:06,40.424461,-3.655616,24.36,44.14,400,AFORO BAJO,8,-50
2026-04-08 23:49:14,40.424461,-3.655616,24.46,44.17,400,AFORO BAJO,8,-44
2026-04-08 23:49:22,40.424461,-3.655616,24.44,44.38,400,AFORO BAJO,9,-43
2026-04-08 23:49:30,40.424461,-3.655616,24.55,44.59,400,AFORO BAJO,8,-50
2026-04-08 23:49:38,40.424461,-3.655616,24.6,44.76,400,AFORO BAJO,11,-34
2026-04-08 23:49:46,40.424461,-3.655616,24.59,44.26,400,AFORO BAJO,8,-40
2026-04-08 23:49:54,40.424461,-3.655616,24.5,43.64,400,AFORO BAJO,11,-52
2026-04-08 23:50:02,40.424461,-3.655616,24.46,43.27,400,AFORO BAJO,10,-43
2026-04-08 23:50:10,40.424461,-3.655616,24.43,43.03,400,AFORO BAJO,11,-46
2026-04-08 23:50:18,40.424461,-3.655616,24.4,42.89,400,AFORO BAJO,8,-50
2026-04-08 23:50:26,40.424461,-3.655616,24.47,42.85,400,AFORO BAJO,7,-45
2026-04-08 23:50:34,40.424461,-3.655616,24.43,42.85,400,AFORO BAJO,7,-48
2026-04-08 23:50:42,40.424461,-3.655616,24.44,42.81,400,AFORO BAJO,9,-45
2026-04-08 23:50:50,40.424461,-3.655616,24.4,42.79,400,AFORO BAJO,10,-47
2026-04-08 23:50:58,40.424461,-3.655616,24.34,42.6,400,AFORO BAJO,8,-49
2026-04-08 23:51:06,40.424461,-3.655616,24.35,42.43,400,AFORO BAJO,9,-47
2026-04-08 23:51:14,40.424461,-3.655616,24.33,42.39,400,AFORO BAJO,10,-50
2026-04-08 23:51:22,40.424461,-3.655616,24.31,42.38,400,AFORO BAJO,9,-43
2026-04-08 23:51:30,40.424461,-3.655616,24.28,42.32,400,AFORO BAJO,11,-32
2026-04-08 23:51:38,40.424461,-3.655616,24.26,42.37,400,AFORO BAJO,9,-41
2026-04-08 23:51:46,40.424461,-3.655616,24.38,42.98,400,AFORO BAJO,7,-47
2026-04-08 23:51:54,40.424461,-3.655616,24.41,43.54,400,AFORO BAJO,7,-33
2026-06-03 16:57:55,40.424496,-3.655642,30.0,41.94,403,AFORO BAJO,6,-56
2026-06-03 16:58:03,40.424496,-3.655642,29.98,42.01,415,AFORO BAJO,4,-58
2026-06-03 16:58:11,40.424496,-3.655642,30.04,42.88,400,AFORO BAJO,7,-52
2026-06-03 16:58:19,40.424496,-3.655642,30.03,42.61,400,AFORO BAJO,7,-53
2026-06-03 16:58:27,40.424496,-3.655642,30.05,42.37,401,AFORO BAJO,6,-52
2026-06-03 16:58:35,40.424496,-3.655642,30.03,42.25,406,AFORO BAJO,6,-52
2026-06-03 16:58:43,40.424496,-3.655642,30.03,42.29,410,AFORO BAJO,7,-52
2026-06-03 16:58:51,40.424496,-3.655642,30.02,42.13,404,AFORO BAJO,6,-52
2026-06-03 16:58:59,40.424496,-3.655642,30.04,42.03,403,AFORO BAJO,6,-52
2026-06-03 16:59:07,40.424496,-3.655642,30.03,42.14,422,AFORO BAJO,6,-52
2026-06-03 16:59:15,40.424496,-3.655642,30.03,42.22,421,AFORO BAJO,6,-52
2026-06-03 16:59:23,40.424496,-3.655642,30.03,42.13,411,AFORO BAJO,6,-52
2026-06-03 16:59:31,40.424496,-3.655642,30.03,42.2,419,AFORO BAJO,7,-52
